                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.921,                 3.0589,                 1.9867,                0.01358,                 0.7971,                0.24648,                0.11401,                 1.6865,                 2.9952,                  1.602,                0.00038,                0.00038,                0.00038
                      2,                 1.8008,                 2.1472,                 1.7273,                0.81004,                0.27811,                0.50493,                0.22013,                 1.7995,                 2.4855,                 1.5722,             0.00077614,             0.00077614,             0.00077614
                      3,                 1.7311,                 1.7304,                 1.5747,                0.59275,                0.43771,                0.46134,                0.19873,                 1.9032,                 2.1598,                 1.6447,              0.0011683,              0.0011683,              0.0011683
                      4,                 1.7386,                 1.6614,                  1.551,                0.59813,                0.49275,                0.48906,                 0.1846,                 1.9148,                 1.9628,                 1.7393,              0.0015565,              0.0015565,              0.0015565
                      5,                 1.7059,                 1.6582,                 1.5406,                0.45054,                0.53623,                0.48193,                0.19957,                 1.9225,                 2.0278,                 1.7742,              0.0019408,              0.0019408,              0.0019408
                      6,                 1.7887,                  1.777,                 1.5979,                0.50847,                0.45652,                0.44589,                 0.1924,                 2.0182,                   2.16,                 1.8415,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.6627,                 1.5757,                 1.5149,                0.56352,                0.48913,                 0.5206,                0.23069,                 1.9301,                 2.3448,                  1.781,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.6437,                  1.549,                  1.525,                0.57784,                0.52536,                0.53798,                0.23478,                 1.8952,                 2.4147,                 1.7545,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.6872,                 1.5481,                 1.5162,                0.56131,                0.50362,                0.49469,                0.21753,                 1.9358,                 2.2492,                 1.7766,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.6731,                 1.4923,                 1.4622,                0.62947,                0.52899,                0.55811,                 0.2489,                   1.93,                 2.0238,                  1.669,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.6131,                 1.4142,                 1.4615,                0.69787,                0.51087,                0.59162,                0.28216,                 1.8263,                 1.8869,                 1.5863,               0.001901,               0.001901,               0.001901
                     12,                  1.618,                 1.4824,                 1.4973,                0.68478,                0.58333,                0.62957,                0.29657,                 1.7875,                 1.8618,                 1.5868,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.5849,                 1.4304,                 1.4455,                0.67679,                0.63043,                0.66089,                0.30296,                  1.839,                 1.9348,                  1.595,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.6181,                 1.3833,                 1.4727,                0.72401,                0.62681,                0.71009,                0.32992,                 1.8264,                 1.7339,                  1.578,              0.0018713,              0.0018713,              0.0018713
                     15,                 1.6168,                 1.4352,                 1.4767,                0.72625,                0.61957,                0.69908,                0.33817,                 1.7689,                 1.6235,                 1.5654,              0.0018614,              0.0018614,              0.0018614
                     16,                 1.5372,                 1.3812,                 1.4501,                0.79108,                0.60145,                0.73205,                0.35513,                 1.7823,                 1.5152,                 1.6076,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.5434,                 1.3536,                 1.4524,                0.76279,                0.65247,                 0.7181,                 0.3428,                 1.8292,                 1.5387,                 1.6475,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.5439,                 1.3496,                 1.4498,                0.79613,                0.61594,                0.72142,                0.33613,                 1.8522,                 1.5008,                 1.6426,              0.0018317,              0.0018317,              0.0018317
                     19,                 1.5612,                 1.3293,                 1.4563,                0.79379,                0.59058,                 0.6879,                0.30583,                   1.89,                 1.5998,                 1.6498,              0.0018218,              0.0018218,              0.0018218
                     20,                 1.5063,                 1.2903,                 1.3859,                0.76101,                 0.5942,                0.69664,                 0.3156,                 1.8285,                 1.5806,                 1.5844,              0.0018119,              0.0018119,              0.0018119
                     21,                 1.4426,                 1.2051,                 1.3606,                0.75901,                0.58198,                  0.706,                0.34555,                 1.7592,                 1.4737,                 1.5321,               0.001802,               0.001802,               0.001802
                     22,                 1.4878,                  1.196,                 1.3783,                0.70525,                0.67391,                 0.7258,                0.36629,                 1.7305,                 1.4805,                 1.5194,              0.0017921,              0.0017921,              0.0017921
                     23,                 1.4909,                 1.1738,                 1.3883,                0.71629,                0.61594,                0.67564,                 0.3295,                 1.7664,                 1.5489,                 1.6015,              0.0017822,              0.0017822,              0.0017822
                     24,                 1.4779,                 1.2152,                 1.3933,                 0.6998,                0.60507,                0.66018,                0.32268,                 1.8002,                 1.5594,                 1.6183,              0.0017723,              0.0017723,              0.0017723
                     25,                 1.4613,                 1.1997,                 1.3771,                0.70586,                0.61733,                0.69262,                0.34195,                 1.7973,                   1.49,                 1.5615,              0.0017624,              0.0017624,              0.0017624
                     26,                 1.4731,                 1.2081,                 1.3859,                0.66731,                0.61232,                0.67309,                0.33333,                 1.7605,                 1.4794,                 1.5556,              0.0017525,              0.0017525,              0.0017525
